,250,500,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
accuracy,0.041025191,0.015559819,0.033449465,0.017288409,0.024742473,0.0303788,0.000100232,7.81E-05,0.007091507,0.014226112,0.023513638,0.029127258,0.026452077,0.028380442,0.028203463,0.029907639,0.031810236,0.03053488,0.032942357,0.030119871,0.031898125,2.40E-05
