,100,200,300,400,500,600,700,800
program4,9.780400002,71.60676999,229.7391,543.24504,1084.23557,1934.62701,2917.80691,4332.32271
program5A,0.973689999,3.698979993,7.799789996,13.54711,23.40911001,30.8892,41.73932001,54.28624999
program5B,0.119540002,0.256629998,0.377860002,0.529779994,0.69111,0.836620003,0.968280004,1.119210001
